number	source_path	title	obsolete	reason	domain	status_line	preview
0001	docs/archive/adr/from-archive-docs-adr/0001-shared-owner-account-personal-actor-accounts.md	ADR 0001 — Shared owner account, personal actor accounts	True	Historical - pre-dates current ADR series (archived separately)	architecture-deploy	**Status:** accepted (2026-07-04)	# ADR 0001 — Shared owner account, personal actor accounts **Status:** accepted (2026-07-04)
0002	docs/archive/adr/from-archive-docs-adr/0002-treasurer-only-approval-with-transparency-mitigation.md	ADR 0002 — Treasurer-only approval, with self-dealing accepted and made transparent	True	Historical - pre-dates current ADR series (archived separately)	architecture-deploy	**Status:** accepted (2026-07-04)	# ADR 0002 — Treasurer-only approval, with self-dealing accepted and made transparent **Status:** ac
0003	docs/archive/adr/from-archive-docs-adr/0003-extract-and-strangle-over-big-bang-clean-architecture.md	ADR 0003 — Extract-and-strangle over Big Bang Clean Architecture	True	Historical - pre-dates current ADR series (archived separately)	architecture-deploy	**Status:** accepted (2026-07-04) — supersedes the architecture in	# ADR 0003 — Extract-and-strangle over Big Bang Clean Architecture **Status:** accepted (2026-07-04)
0001	docs/archive/adr/from-docs-adr/0001-airtable-native-architecture.md	1. 100% Airtable Native Architecture	True	Abandoned tech - Airtable architecture	architecture-deploy		# 1. 100% Airtable Native Architecture Date: 2026-07-16
0001	docs/archive/adr/from-docs-adr/0001-allow-duplicate-receipt-uploads-for-splitting.md	0001: Allow Duplicate Receipt Uploads for Receipt Splitting	False		architecture-deploy		# 0001: Allow Duplicate Receipt Uploads for Receipt Splitting **Date:** 2026-07-06
0002	docs/archive/adr/from-docs-adr/0002-airtable-data-layer-simplifications.md	2. Airtable Data Layer Simplifications	True	Abandoned tech - Airtable data layer	architecture-deploy		# 2. Airtable Data Layer Simplifications Date: 2026-07-16
0003	docs/archive/adr/from-docs-adr/0003-deep-module-script-architecture.md	3. Deep Module Script Architecture	False		architecture-deploy		# 3. Deep Module Script Architecture Date: 2026-07-16
0004	docs/archive/adr/from-docs-adr/0004-nextjs-google-sheets-security.md	Next.js + Google Sheets API Security & Data Flow	False		architecture-deploy		# Next.js + Google Sheets API Security & Data Flow To ensure the Next.js Hybrid Web App is robust ag
0005	docs/archive/adr/from-docs-adr/0005-local-ephemeral-e2e-testing.md	5. Local Ephemeral E2E Testing	False		architecture-deploy		# 5. Local Ephemeral E2E Testing Date: 2026-07-16
0006	docs/archive/adr/from-docs-adr/0006-react-web-app-replaces-appsheet.md	React web app is the interface for every role	True	Superseded by ADR 0007	architecture-deploy	Status: superseded by ADR-0007	# React web app is the interface for every role Status: superseded by ADR-0007
0007	docs/archive/adr/from-docs-adr/0007-committee-operated-web-app.md	Web app is operated by committee members	False		architecture-deploy	Status: accepted	# Web app is operated by committee members Status: accepted
0008	docs/archive/adr/from-docs-adr/0008-separate-claimant-and-operator-identity.md	Claims separate claimant and operator identity	False		claims	Status: accepted	# Claims separate claimant and operator identity Status: accepted
0009	docs/archive/adr/from-docs-adr/0009-committee-and-treasurer-web-access.md	Web access is limited to committee operators	False		architecture-deploy	Status: accepted	# Web access is limited to committee operators Status: accepted
0010	docs/archive/adr/from-docs-adr/0010-separate-claims-per-claimant.md	Claims remain separate within an event	False		claims	Status: accepted	# Claims remain separate within an event Status: accepted
0011	docs/archive/adr/from-docs-adr/0011-receipts-are-recommended-not-required.md	Receipts are recommended but not required at claim intake	False		architecture-deploy	Status: accepted	# Receipts are recommended but not required at claim intake Status: accepted
0012	docs/archive/adr/from-docs-adr/0012-missing-receipt-is-an-explicit-flag.md	Missing receipts are explicit claim flags	False		architecture-deploy	Status: accepted	# Missing receipts are explicit claim flags Status: accepted
0013	docs/archive/adr/from-docs-adr/0013-claim-review-and-payout-lifecycle.md	Claims use an explicit review and payout lifecycle	False		claims	Status: accepted	# Claims use an explicit review and payout lifecycle Status: accepted
0014	docs/archive/adr/from-docs-adr/0014-state-based-claim-mutability.md	Claim mutability follows the review lifecycle	False		claims	Status: accepted	# Claim mutability follows the review lifecycle Status: accepted
0015	docs/archive/adr/from-docs-adr/0015-treasurer-only-correction-path.md	Treasurer controls pre-payment claim corrections	False		payout	Status: accepted	# Treasurer controls pre-payment claim corrections Status: accepted
0016	docs/archive/adr/from-docs-adr/0016-google-identity-and-active-role-authorization.md	Access requires Google identity and an active committee role	False		identity-auth	Status: accepted	# Access requires Google identity and an active committee role Status: accepted
